Date,Holiday
2013-01-26,Australia Day
2013-02-14,Valentine's Day
2013-03-31,Easter
2013-04-01,Easter Monday
2013-05-05,Mother's Day
2013-09-01,Father's Day
2013-12-25,Christmas Day
2013-12-26,Boxing Day
2013-11-22,Black Friday
2013-11-25,Cyber Monday
2014-01-26,Australia Day
2014-02-14,Valentine's Day
2014-04-20,Easter
2014-04-21,Easter Monday
2014-05-04,Mother's Day
2014-09-07,Father's Day
2014-12-25,Christmas Day
2014-12-26,Boxing Day
2014-11-28,Black Friday
2014-12-01,Cyber Monday
2015-01-26,Australia Day
2015-02-14,Valentine's Day
2015-04-05,Easter
2015-04-06,Easter Monday
2015-05-03,Mother's Day
2015-09-06,Father's Day
2015-12-25,Christmas Day
2015-12-26,Boxing Day
2015-11-27,Black Friday
2015-11-30,Cyber Monday
2016-01-26,Australia Day
2016-02-14,Valentine's Day
2016-03-27,Easter
2016-03-28,Easter Monday
2016-05-01,Mother's Day
2016-09-04,Father's Day
2016-12-25,Christmas Day
2016-12-26,Boxing Day
2016-11-25,Black Friday
2016-11-28,Cyber Monday
2017-01-26,Australia Day
2017-02-14,Valentine's Day
2017-04-16,Easter
2017-04-17,Easter Monday
2017-05-07,Mother's Day
2017-09-03,Father's Day
2017-12-25,Christmas Day
2017-12-26,Boxing Day
2017-11-24,Black Friday
2017-11-27,Cyber Monday
2018-01-26,Australia Day
2018-02-14,Valentine's Day
2018-04-01,Easter
2018-04-02,Easter Monday
2018-05-06,Mother's Day
2018-09-02,Father's Day
2018-12-25,Christmas Day
2018-12-26,Boxing Day
2018-11-23,Black Friday
2018-11-26,Cyber Monday
2019-01-26,Australia Day
2019-02-14,Valentine's Day
2019-04-21,Easter
2019-04-22,Easter Monday
2019-05-05,Mother's Day
2019-09-01,Father's Day
2019-12-25,Christmas Day
2019-12-26,Boxing Day
2019-11-22,Black Friday
2019-11-25,Cyber Monday
2020-01-26,Australia Day
2020-02-14,Valentine's Day
2020-04-12,Easter
2020-04-13,Easter Monday
2020-05-03,Mother's Day
2020-09-06,Father's Day
2020-12-25,Christmas Day
2020-12-26,Boxing Day
2020-11-27,Black Friday
2020-11-30,Cyber Monday
